PERMNO,date,DIVAMT,RETX
10104,2021-12-31,,-0.009090
10104,2022-01-03,,0.007912
10104,2022-01-04,,0.010694
10104,2022-01-05,,-0.026790
10104,2022-01-06,0.32000,-0.001388
10104,2022-01-07,,0.013551
10104,2022-01-10,,0.020226
10104,2022-01-11,,-0.008961
10104,2022-01-12,,-0.001921
10104,2022-01-13,,-0.005888
10104,2022-01-14,,-0.001139
10104,2022-01-18,,-0.024404
10104,2022-01-19,,-0.025365
10104,2022-01-20,,-0.007916
10104,2022-01-21,,-0.006044
10104,2022-01-24,,0.002432
10104,2022-01-25,,-0.016380
10104,2022-01-26,,-0.018256
10104,2022-01-27,,0.002387
10104,2022-01-28,,0.008774
10104,2022-01-31,,0.008449
10104,2022-02-01,,-0.001479
10104,2022-02-02,,0.018016
10104,2022-02-03,,-0.006788
10104,2022-02-04,,0.002075
10104,2022-02-07,,-0.016685
10104,2022-02-08,,0.000619
10104,2022-02-09,,0.032925
10104,2022-02-10,,-0.019173
10104,2022-02-11,,-0.025657
10104,2022-02-14,,-0.010031
10104,2022-02-15,,0.010386
10104,2022-02-16,,-0.007271
10104,2022-02-17,,-0.046218
10104,2022-02-18,,-0.012710
10104,2022-02-22,,-0.006035
10104,2022-02-23,,-0.022261
10104,2022-02-24,,0.032289
10104,2022-02-25,,0.020585
10104,2022-02-28,,-0.004977
10104,2022-03-01,,0.000527
10104,2022-03-02,,0.029864
10104,2022-03-03,,-0.000383
10104,2022-03-04,,-0.022492
10104,2022-03-07,,-0.028370
10104,2022-03-08,,-0.013321
10104,2022-03-09,,0.037774
10104,2022-03-10,,0.007227
10104,2022-03-11,,0.015264
10104,2022-03-14,,-0.009638
10104,2022-03-15,,0.045803
10104,2022-03-16,,-0.007940
10104,2022-03-17,,0.008004
10104,2022-03-18,,0.013400
10104,2022-03-21,,-0.008815
10104,2022-03-22,,0.010376
10104,2022-03-23,,-0.017237
10104,2022-03-24,,0.023013
10104,2022-03-25,,-0.006201
10104,2022-03-28,,0.022880
10104,2022-03-29,,0.008254
10104,2022-03-30,,-0.011033
10104,2022-03-31,,-0.007558
10104,2022-04-01,,-0.008703
10104,2022-04-04,,0.025119
10104,2022-04-05,,-0.013441
10104,2022-04-06,,-0.009887
10104,2022-04-07,0.32000,-0.007063
10104,2022-04-08,,-0.007358
10104,2022-04-11,,-0.014579
10104,2022-04-12,,-0.005391
10104,2022-04-13,,0.005294
10104,2022-04-14,,-0.003762
10104,2022-04-18,,-0.015481
10104,2022-04-19,,0.017131
10104,2022-04-20,,0.009176
10104,2022-04-21,,-0.010088
10104,2022-04-22,,-0.041142
10104,2022-04-25,,0.010104
10104,2022-04-26,,-0.032086
10104,2022-04-27,,0.003355
10104,2022-04-28,,0.018459
